Learner,CA,AUC,Precision(average=macro),Recall(average=macro),F1(average=macro),MCC
"TreeLearner(min_samples_leaf=5, min_samples_split=5)",0.8199264705882353,0.9141627959750374,0.7538865919776456,0.7465169369029664,0.7498886385335309,0.7645160776880499
"TreeLearner(min_samples_leaf=5, min_samples_split=5, sufficient_majority=0.9)",0.8192647058823529,0.9206658414294188,0.7552959691836846,0.7417833500921737,0.7479327900984613,0.7632798861870704
"TreeLearner(max_depth=5, min_samples_leaf=5, min_samples_split=5)",0.7658088235294118,0.9437594957106246,0.7027409656637063,0.6606165682084799,0.6442357470320229,0.6959061790214552
"TreeLearner(max_depth=5, min_samples_leaf=5, min_samples_split=5, sufficient_majority=0.9)",0.7654411764705882,0.9435500385583402,0.7015739696373444,0.659850636835931,0.6435843522850506,0.6953556775048991
"TreeLearner(max_depth=10, min_samples_leaf=5, min_samples_split=5)",0.8306617647058824,0.9668457552706553,0.7724641440306933,0.7530778133903134,0.7578362667647399,0.7789790688259872
"TreeLearner(max_depth=10, min_samples_leaf=5, min_samples_split=5, sufficient_majority=0.9)",0.8244117647058824,0.9632760267949432,0.767582842535773,0.7455332977207977,0.7513796752927888,0.7705985881826664
TreeLearner(binarize=True),0.8166176470588236,0.8571781612817393,0.7449170975044463,0.7397902002681415,0.7423011178779082,0.7603151089915797
"TreeLearner(binarize=True, sufficient_majority=0.9)",0.8197058823529412,0.8775557524597446,0.7519193082476204,0.7396317244846656,0.7454323234012019,0.7638647075118642
"TreeLearner(binarize=True, max_depth=5)",0.7658088235294118,0.9437594957106246,0.7027409656637063,0.6606165682084799,0.6442357470320229,0.6959061790214552
"TreeLearner(binarize=True, max_depth=5, sufficient_majority=0.9)",0.7654411764705882,0.9435500385583402,0.7015739696373444,0.659850636835931,0.6435843522850506,0.6953556775048991
"TreeLearner(binarize=True, max_depth=10)",0.8300735294117647,0.9644745358386061,0.7715900938736958,0.7516336726998492,0.7566044037627382,0.7782146679998214
"TreeLearner(binarize=True, max_depth=10, sufficient_majority=0.9)",0.8242647058823529,0.9621478046289418,0.767346406027062,0.7447621292106588,0.7508506194125103,0.770402657449544
"TreeLearner(binarize=True, min_samples_split=5)",0.8166176470588236,0.8684564792906618,0.7437745037016891,0.7385974421820011,0.7411185402376592,0.7602949844124723
"TreeLearner(binarize=True, min_samples_split=5, sufficient_majority=0.9)",0.8201470588235295,0.8856118268878352,0.7519190508733781,0.7394495768392826,0.7452896805053423,0.7644249103961323
"TreeLearner(binarize=True, max_depth=5, min_samples_split=5)",0.7658088235294118,0.9437594957106246,0.7027409656637063,0.6606165682084799,0.6442357470320229,0.6959061790214552
"TreeLearner(binarize=True, max_depth=5, min_samples_split=5, sufficient_majority=0.9)",0.7654411764705882,0.9435500385583402,0.7015739696373444,0.659850636835931,0.6435843522850506,0.6953556775048991
"TreeLearner(binarize=True, max_depth=10, min_samples_split=5)",0.8299264705882353,0.9647771305090921,0.771288171212445,0.7514451357466063,0.7563934013189947,0.7780200880095048
"TreeLearner(binarize=True, max_depth=10, min_samples_split=5, sufficient_majority=0.9)",0.8241911764705883,0.9621400149584244,0.76716414908272,0.7446678607340372,0.7507419723045726,0.7703051897043606
"TreeLearner(binarize=True, min_samples_leaf=5)",0.8199264705882353,0.9141627959750374,0.7538865919776456,0.7465169369029664,0.7498886385335309,0.7645160776880499
"TreeLearner(binarize=True, min_samples_leaf=5, sufficient_majority=0.9)",0.8192647058823529,0.9206658414294188,0.7552959691836846,0.7417833500921737,0.7479327900984613,0.7632798861870704
"TreeLearner(binarize=True, max_depth=5, min_samples_leaf=5)",0.7658088235294118,0.9437594957106246,0.7027409656637063,0.6606165682084799,0.6442357470320229,0.6959061790214552
"TreeLearner(binarize=True, max_depth=5, min_samples_leaf=5, sufficient_majority=0.9)",0.7654411764705882,0.9435500385583402,0.7015739696373444,0.659850636835931,0.6435843522850506,0.6953556775048991
"TreeLearner(binarize=True, max_depth=10, min_samples_leaf=5)",0.8306617647058824,0.9668457552706553,0.7724641440306933,0.7530778133903134,0.7578362667647399,0.7789790688259872
"TreeLearner(binarize=True, max_depth=10, min_samples_leaf=5, sufficient_majority=0.9)",0.8244117647058824,0.9632760267949432,0.767582842535773,0.7455332977207977,0.7513796752927888,0.7705985881826664
"TreeLearner(binarize=True, min_samples_leaf=5, min_samples_split=5)",0.8199264705882353,0.9141627959750374,0.7538865919776456,0.7465169369029664,0.7498886385335309,0.7645160776880499
"TreeLearner(binarize=True, min_samples_leaf=5, min_samples_split=5, sufficient_majority=0.9)",0.8192647058823529,0.9206658414294188,0.7552959691836846,0.7417833500921737,0.7479327900984613,0.7632798861870704
"TreeLearner(binarize=True, max_depth=5, min_samples_leaf=5, min_samples_split=5)",0.7658088235294118,0.9437594957106246,0.7027409656637063,0.6606165682084799,0.6442357470320229,0.6959061790214552
"TreeLearner(binarize=True, max_depth=5, min_samples_leaf=5, min_samples_split=5, sufficient_majority=0.9)",0.7654411764705882,0.9435500385583402,0.7015739696373444,0.659850636835931,0.6435843522850506,0.6953556775048991
"TreeLearner(binarize=True, max_depth=10, min_samples_leaf=5, min_samples_split=5)",0.8306617647058824,0.9668457552706553,0.7724641440306933,0.7530778133903134,0.7578362667647399,0.7789790688259872
"TreeLearner(binarize=True, max_depth=10, min_samples_leaf=5, min_samples_split=5, sufficient_majority=0.9)",0.8244117647058824,0.9632760267949432,0.767582842535773,0.7455332977207977,0.7513796752927888,0.7705985881826664
"GBClassifier(learning_rate=0.05, max_depth=2, min_impurity_split=<?>, random_state=42, presort=<?>)",0.8369852941176471,0.9765740663736069,0.7869951615835543,0.7575907072230601,0.7700408582458006,0.7860456909642047
"GBClassifier(learning_rate=0.05, min_impurity_split=<?>, random_state=42, presort=<?>)",0.8541176470588235,0.9811613395147043,0.8048838053260373,0.7811008463214346,0.7912993524215247,0.808751641745538
"GBClassifier(max_depth=2, min_impurity_split=<?>, random_state=42, presort=<?>)",0.8544117647058823,0.9821379928177897,0.8035851199084775,0.7814577572481983,0.790568359020316,0.8091951850878206
"GBClassifier(min_impurity_split=<?>, random_state=42, presort=<?>)",0.8648529411764706,0.9846026107167133,0.8174234749153674,0.7987335553879671,0.8069088822831016,0.8229765090609625
"GBClassifier(learning_rate=0.05, n_estimators=300, max_depth=2, min_impurity_split=<?>, random_state=42, presort=<?>)",0.86,0.983919997199245,0.8102902454239919,0.7898956762192055,0.7984627986118524,0.8165732568186381
"GBClassifier(learning_rate=0.05, n_estimators=300, min_impurity_split=<?>, random_state=42, presort=<?>)",0.8681617647058824,0.9859264456500054,0.8223840484254491,0.8050974631305513,0.812676042044687,0.8273787131991039
"GBClassifier(n_estimators=300, max_depth=2, min_impurity_split=<?>, random_state=42, presort=<?>)",0.8705147058823529,0.9863891146996083,0.825117943701336,0.8083159984079101,0.8157646072298053,0.8304609525598932
"GBClassifier(n_estimators=300, min_impurity_split=<?>, random_state=42, presort=<?>)",0.8775,0.9873616139819288,0.8409376839800383,0.8248879776269483,0.8321349286693684,0.8396643422358283
"NNClassificationLearner(hidden_layer_sizes=[50], random_state=42)",0.8213970588235294,0.9728753164108448,0.7606745159988936,0.7469088842802077,0.7532786091002975,0.7660448332317865
"NNClassificationLearner(hidden_layer_sizes=[50], max_iter=300, random_state=42)",0.8223529411764706,0.9728024976257903,0.7653675470394982,0.751208312384783,0.7570778072228624,0.7673698531037659
"NNClassificationLearner(hidden_layer_sizes=[50], alpha=0.001, random_state=42)",0.8238235294117647,0.9733148174499,0.76576522271335,0.7510581112786995,0.7578061107749136,0.7692183444035803
"NNClassificationLearner(hidden_layer_sizes=[50], alpha=0.001, max_iter=300, random_state=42)",0.8228676470588235,0.9732039142639453,0.7616122973366188,0.7468690820345231,0.7528065624986898,0.7679073996687136
"NNClassificationLearner(hidden_layer_sizes=[100], random_state=42)",0.8191911764705883,0.9704958383059337,0.754637633599392,0.7438124266800736,0.7489611532981527,0.7632411318057364
"NNClassificationLearner(hidden_layer_sizes=[100], max_iter=300, random_state=42)",0.8172794117647059,0.9700713735525672,0.7500204406271371,0.7383607235629294,0.7434541529612649,0.7606500188983383
"NNClassificationLearner(hidden_layer_sizes=[100], alpha=0.001, random_state=42)",0.8230882352941177,0.9715725336880505,0.7593973099648155,0.7470642177811295,0.7529340766712135,0.7682067934428238
"NNClassificationLearner(hidden_layer_sizes=[100], alpha=0.001, max_iter=300, random_state=42)",0.8201470588235295,0.9717366069292621,0.754738904742815,0.7435328159041394,0.748283876415289,0.7646902717965702
"NNClassificationLearner(hidden_layer_sizes=[50, 50], random_state=42)",0.8171323529411765,0.9694569240600431,0.7577642252183092,0.7444360650243004,0.7483886118614062,0.7609215532817283
