Learner,Recall(weighted),F1(weighted),MCC,Precision(weighted),AUC,CA
"TreeLearner(binarize=True, min_samples_leaf=5, min_samples_split=5, sufficient_majority=0.9)",0.8217463235294118,0.8195730340891204,0.7665293804235478,0.8179983488147611,0.9201930059605754,0.8217463235294118
"TreeLearner(binarize=True, max_depth=10, min_samples_leaf=5, min_samples_split=5)",0.8341544117647058,0.8317090617265247,0.7827544761642907,0.830346203991434,0.9678734780362606,0.8341544117647058
"TreeLearner(binarize=True, max_depth=10, min_samples_leaf=5, min_samples_split=5, sufficient_majority=0.9)",0.8308272058823529,0.8281123181506691,0.7782134155979974,0.8266356223570706,0.9642873752517238,0.8308272058823529
"TreeLearner(binarize=True, max_depth=20, min_samples_leaf=5, min_samples_split=5)",0.8282169117647059,0.8266410990828243,0.7753457763813397,0.8253709748414296,0.9250670996012027,0.8282169117647059
"TreeLearner(binarize=True, max_depth=20, min_samples_leaf=5, min_samples_split=5, sufficient_majority=0.9)",0.8282904411764705,0.8261463070186291,0.7751860771607013,0.8246717841211013,0.9305763610451562,0.8282904411764705
"TreeLearner(binarize=True, min_samples_leaf=5, min_samples_split=10)",0.8191911764705883,0.8177008333922082,0.7634487782829465,0.8164475972657743,0.9123547293448827,0.8191911764705883
"TreeLearner(binarize=True, min_samples_leaf=5, min_samples_split=10, sufficient_majority=0.9)",0.8217463235294118,0.8195730340891204,0.7665293804235478,0.8179983488147611,0.9201930059605754,0.8217463235294118
"TreeLearner(binarize=True, max_depth=10, min_samples_leaf=5, min_samples_split=10)",0.8341544117647058,0.8317090617265247,0.7827544761642907,0.830346203991434,0.9678734780362606,0.8341544117647058
"TreeLearner(binarize=True, max_depth=10, min_samples_leaf=5, min_samples_split=10, sufficient_majority=0.9)",0.8308272058823529,0.8281123181506691,0.7782134155979974,0.8266356223570706,0.9642873752517238,0.8308272058823529
"TreeLearner(binarize=True, max_depth=20, min_samples_leaf=5, min_samples_split=10)",0.8282169117647059,0.8266410990828243,0.7753457763813397,0.8253709748414296,0.9250670996012027,0.8282169117647059
"TreeLearner(binarize=True, max_depth=20, min_samples_leaf=5, min_samples_split=10, sufficient_majority=0.9)",0.8282904411764705,0.8261463070186291,0.7751860771607013,0.8246717841211013,0.9305763610451562,0.8282904411764705
"TreeLearner(binarize=True, min_samples_leaf=10, min_samples_split=5)",0.8270772058823529,0.8251192878166348,0.773601572519978,0.8236292136251228,0.9455067379380497,0.8270772058823529
"TreeLearner(binarize=True, min_samples_leaf=10, min_samples_split=5, sufficient_majority=0.9)",0.8253492647058823,0.8229829248903893,0.7711698578896609,0.8213758963212351,0.9478785722744884,0.8253492647058823
"TreeLearner(binarize=True, max_depth=10, min_samples_leaf=10, min_samples_split=5)",0.8328676470588235,0.8303870460080548,0.781077126771454,0.8290644602616652,0.9693275056400882,0.8328676470588235
"TreeLearner(binarize=True, max_depth=10, min_samples_leaf=10, min_samples_split=5, sufficient_majority=0.9)",0.8300735294117647,0.8273384920500206,0.7772372463644242,0.8258969848592079,0.9655419959739004,0.8300735294117647
