Learner,Recall(weighted),F1(weighted),MCC,Precision(weighted),AUC,CA
"GBClassifier(learning_rate=0.5, min_samples_split=5, max_depth=5, min_impurity_split=<?>, random_state=0, presort=<?>)",0.87625,0.8754309506358611,0.8380279484012192,0.8750747985307264,0.9843875184836293,0.87625
"GBClassifier(n_estimators=200, min_impurity_split=<?>, random_state=0, presort=<?>)",0.8788235294117647,0.87763540507508,0.8413269611226982,0.8772101738442537,0.986940978826653,0.8788235294117647
"GBClassifier(n_estimators=200, min_samples_split=5, min_impurity_split=<?>, random_state=0, presort=<?>)",0.8799264705882353,0.8788114166851188,0.8427781450108881,0.8784715019290433,0.9869532716249434,0.8799264705882353
"GBClassifier(n_estimators=200, max_depth=5, min_impurity_split=<?>, random_state=0, presort=<?>)",0.8816911764705883,0.8807420372833659,0.8451446206541956,0.880267743588306,0.9873646748393345,0.8816911764705883
"GBClassifier(n_estimators=200, min_samples_split=5, max_depth=5, min_impurity_split=<?>, random_state=0, presort=<?>)",0.8823529411764706,0.8814564057790171,0.8460315210241173,0.881046560131245,0.9873422262008039,0.8823529411764706
"GBClassifier(learning_rate=0.3, n_estimators=200, min_impurity_split=<?>, random_state=0, presort=<?>)",0.889264705882353,0.8884108384809277,0.8550573525059153,0.8880736801461182,0.9881338457368489,0.889264705882353
"GBClassifier(learning_rate=0.3, n_estimators=200, min_samples_split=5, min_impurity_split=<?>, random_state=0, presort=<?>)",0.8911029411764706,0.8903742229768439,0.8574636909014772,0.8902222069276211,0.9881777485878868,0.8911029411764706
"GBClassifier(learning_rate=0.3, n_estimators=200, max_depth=5, min_impurity_split=<?>, random_state=0, presort=<?>)",0.8816176470588235,0.8808656051798179,0.8450649010746535,0.8805729619295152,0.9859225032092456,0.8816176470588235
"GBClassifier(learning_rate=0.3, n_estimators=200, min_samples_split=5, max_depth=5, min_impurity_split=<?>, random_state=0, presort=<?>)",0.8817647058823529,0.8810268440244756,0.8453071574360941,0.8807690103096331,0.9862379055227007,0.8817647058823529
"GBClassifier(learning_rate=0.5, n_estimators=200, min_impurity_split=<?>, random_state=0, presort=<?>)",0.888014705882353,0.8874977157085839,0.8534581567667527,0.8873405637346493,0.9872518039593333,0.888014705882353
"GBClassifier(learning_rate=0.5, n_estimators=200, min_samples_split=5, min_impurity_split=<?>, random_state=0, presort=<?>)",0.8888235294117647,0.8882437991182766,0.8544976050994176,0.8880388889294057,0.9876795199921102,0.8888235294117647
"GBClassifier(learning_rate=0.5, n_estimators=200, max_depth=5, min_impurity_split=<?>, random_state=0, presort=<?>)",0.8794117647058823,0.8786471786002508,0.8421979273832882,0.8782979975207224,0.9846629674394735,0.8794117647058823
"GBClassifier(learning_rate=0.5, n_estimators=200, min_samples_split=5, max_depth=5, min_impurity_split=<?>, random_state=0, presort=<?>)",0.8796323529411765,0.8789381465892359,0.8424934162157117,0.8786336620727969,0.9842553691388389,0.8796323529411765
"NNClassificationLearner(hidden_layer_sizes=[100], random_state=1)",0.8222794117647059,0.8207091440914311,0.7677157836533887,0.820804970780594,0.9713449511820045,0.8222794117647059
"NNClassificationLearner(hidden_layer_sizes=[100], max_iter=300, random_state=1)",0.8197794117647059,0.817765769845088,0.7642431115269402,0.8163143397988977,0.9708868804711767,0.8197794117647059
"NNClassificationLearner(hidden_layer_sizes=[100], max_iter=500, random_state=1)",0.8225735294117648,0.8213458038420139,0.7677629629354594,0.8203977713687929,0.97120177499262,0.8225735294117648
"NNClassificationLearner(hidden_layer_sizes=[100], alpha=0.001, random_state=1)",0.8247058823529412,0.8233462561941387,0.7709681951254336,0.8232756527307059,0.971578443822857,0.8247058823529412
"NNClassificationLearner(hidden_layer_sizes=[100], alpha=0.001, max_iter=300, random_state=1)",0.8238970588235294,0.8220663240840327,0.7696371160574688,0.8206654285308912,0.9720187347605973,0.8238970588235294
"NNClassificationLearner(hidden_layer_sizes=[100], alpha=0.001, max_iter=500, random_state=1)",0.8241176470588235,0.822410460364713,0.7697354151559803,0.8211070499209019,0.9721571292418689,0.8241176470588235
"NNClassificationLearner(hidden_layer_sizes=[100], alpha=0.01, random_state=1)",0.8255882352941176,0.823859890349012,0.772047307421831,0.8239799979434612,0.9721310625852526,0.8255882352941176
"NNClassificationLearner(hidden_layer_sizes=[100], alpha=0.01, max_iter=300, random_state=1)",0.8225,0.8203719152421117,0.7676910638171416,0.8187466088816343,0.9722432564092378,0.8225
"NNClassificationLearner(hidden_layer_sizes=[100], alpha=0.01, max_iter=500, random_state=1)",0.8230882352941177,0.8215685714444787,0.7684485245395388,0.8207297846104723,0.9724046566897195,0.8230882352941177
"NNClassificationLearner(hidden_layer_sizes=[32], random_state=1)",0.8305882352941176,0.8287903201854516,0.7780021045100208,0.8275798792836017,0.9736129266242799,0.8305882352941176
"NNClassificationLearner(hidden_layer_sizes=[32], max_iter=300, random_state=1)",0.8315441176470588,0.8296521279267282,0.7791863760593108,0.8287358402323796,0.9737775499735044,0.8315441176470588
"NNClassificationLearner(hidden_layer_sizes=[32], max_iter=500, random_state=1)",0.8315441176470588,0.8296521279267282,0.7791863760593108,0.8287358402323796,0.9737775499735044,0.8315441176470588
